anger;anticipation;disgust;fear;joy;sadness;surprise;trust;negative;positive;word_count;char_count;num_unique_words;Gender
0;0;0;0;0;0;0;0;0;0;4;16;3;M
0;0;0;0;0;0;0;0;0;0;11;61;10;M
0;0;0;0;0;0;0;1;0;1;6;31;4;M
1;0;0;0;0;0;0;0;1;0;16;99;14;M
0;0;0;0;0;1;0;0;1;0;12;71;10;M
0;0;0;0;0;1;0;1;1;0;17;106;15;M
0;0;0;0;0;1;1;0;1;0;7;33;6;M
1;1;0;1;0;1;1;0;1;0;14;70;12;M
0;1;0;0;0;0;0;2;1;1;21;119;19;M
0;0;0;0;0;0;0;1;0;0;12;64;10;M
0;0;0;0;0;1;1;0;1;0;22;121;20;M
0;0;0;0;0;0;0;0;1;0;16;98;13;M
0;0;0;0;2;0;1;2;0;2;12;62;11;M
0;0;0;0;0;0;0;0;0;0;11;45;6;M
0;0;0;0;0;0;0;1;0;1;12;55;8;M
1;1;0;1;0;0;1;0;1;1;13;86;13;M
0;0;0;1;0;0;0;0;1;0;20;122;14;M
0;0;0;0;0;0;0;1;0;0;15;73;12;M
0;0;0;0;0;0;1;0;0;0;19;87;17;M
0;0;0;0;0;0;0;0;0;0;9;51;8;M
1;1;0;1;0;1;2;0;1;1;13;77;11;M
0;1;0;0;1;0;2;1;0;1;17;93;14;M
1;1;0;1;0;0;0;0;1;0;9;56;8;M
0;0;0;0;0;0;0;0;0;0;22;112;19;M
0;0;0;0;0;0;0;0;0;0;5;29;4;M
0;2;0;2;1;3;1;2;3;2;14;70;11;M
0;0;0;0;0;0;0;0;1;0;19;85;12;M
1;0;0;1;0;1;1;1;1;1;19;117;18;M
0;0;0;0;0;0;1;0;0;0;20;92;18;M
1;0;0;0;0;1;0;0;1;0;19;107;17;M
0;1;0;0;0;0;0;1;0;1;15;74;11;M
0;0;0;0;0;0;1;0;0;0;15;78;14;M
1;1;0;0;1;0;0;1;1;2;21;105;19;M
0;1;0;0;1;0;2;1;0;1;15;78;12;M
0;0;0;1;0;1;1;1;1;1;18;87;14;M
0;0;0;0;0;0;0;0;0;0;5;40;5;M
0;0;0;0;0;0;0;1;0;0;17;79;15;M
0;0;0;0;0;0;0;0;0;0;17;89;16;M
0;2;0;0;1;0;0;1;0;1;9;43;6;M
