"","tweet_text","created_at","screen_name","name"
"53","clintonlinked ‚Äòlaureate education‚Äô tanks in first day on stock market ","2017-02-02 09:42:37","US_NewsExpress","American Highs NEWS"
"54","keep track of the latest ups and downs of the stock market with icicidirect visit to know‚Ä ","2017-01-31 11:15:01","ICICI_Direct","ICICIdirect"
"55","wall street suffers worst day in months following trump travel ban

","2017-01-31 08:47:04","KadeKade100","K.D."
"56","check out these sccy cpx mm pistols we have in stock 

one gun  different color options‚Ä ","2017-01-31 18:03:26","AZFirearms","AZFirearms.com"
"57","chart of the day stock market capitalization as  of gdp at nd highest level in  years ","2017-01-31 14:18:39","NewsComplex","News Complex"
"58","it all started with a ","2017-02-02 17:59:17","NYCOrdonez","Sandra Ordonez"
"59","never make financial decisions based on mainstream news  ","2017-01-31 19:48:15","saul42","Tactical Investor"
"60","the stock market is way overbought fck","2017-01-31 14:24:26","jimmymurphy02","jimmymurphy02"
"61","should you invest in the stock market now stock investing earlyretire ","2017-02-02 10:09:53","retirebyforty","retirebyforty"
"62","rdsb  shells big bet on gas still up in the air  heard on the street ","2017-02-02 06:50:05","lauriesandra","Laurie Ash"
"63"," almost the entire trump bump in the stock market has gone away ","2017-01-31 19:21:09","thejoevanwick","Joe Van Wick"
"64"," stock picks in the  billion virtual reality market ","2017-02-02 07:39:37","TheBizTweets","Business News"
"65","  welcome to the st century ","2017-01-31 13:26:29","ErrbodyluhHoney","Riche Forever"
"66","february   market closing report
","2017-02-01 16:35:43","IFSG","IFSG-Matt Dressel"
"67"," almost the entire trump bump in the stock market has gone away ","2017-01-31 19:00:55","Dheeraj8128","Dheeraj"
"68"," wait till we have a national sick out or no spend money day the stock market will love us then","2017-01-31 14:31:23","retiredfirstsgt","Richard Punko"
"69"," loan money stock market ","2017-02-01 14:22:57","frosgoodjo91","Jennifer Young"
"70"," android programming this year i want to learn c and look into some speedcritical applications such as stock market","2017-01-31 07:45:08","reviewgal","Sam"
"71"," plans dont crash the stock market  skittish investors do over our whiny democrats that protest too much ","2017-01-31 19:24:05","charli_whisky","CharliWhisky"
"72","take that primer who needs to influence the stock market when you can drastically improve sw hockey

tumbleweeds blow by","2017-01-30 18:18:39","TheCinemaSieve","Joe Gieringer"
"73"," the trump stock market is down another  points so far today","2017-01-31 11:49:49","Joyjoywit","joywit"
"74","don‚Äôt listen to the jackasses masquerading as experts unless you want to lose all your money ","2017-02-02 15:04:42","me_the_investor","W_investor"
"75"," stock exchange market to list medview airlines on gradually aviation is taking her rightful place in the‚Ä ","2017-02-02 12:47:15","intellectual316","Kwanson Konjol"
"76","brexit on steroids  trump wins triggers massive stockmarket rally ","2017-01-31 11:46:11","yerissa_blondee","Yerissa Melonfield"
"77"," good i hope they go out of business ","2017-01-31 20:28:32","AlHolmes66","Al Holmes"
"78","snapchat files plans for stock market listing","2017-02-02 17:26:41","Airgeadais","Airgeadais"
"79","should you invest in the stock market now stock invest earlyretire ","2017-02-02 17:28:45","retirebyforty","retirebyforty"
"80","google bbcbreaking snapchat owner files for listing on us stock market to raise bn making it biggest us flot‚Ä ","2017-02-02 17:41:11","asifpervezphd","Asif Pervez"
"81","investors worried about a stock market crash   don‚Äôt worry be happy ","2017-02-01 17:10:02","meyers000111","Johnathan Meyers"
"82","alert today the stock market fired a warning shot this is what‚Äôs next by gregory mannarino ","2017-02-01 19:14:43","Bitcoiners_Info","Info Bitcoin‚Ñ¢"
"83"," share prices uk stock market information financial news stock charts share trades virtual stock trading ","2017-02-01 16:04:57","dermiobank92","Riley"
"84","stockmarket crash more like stock market hogwash never listen to naysayers ","2017-02-01 14:21:42","trend_auditor","Trend Auditor"
"85","pennystock news otc markets group inc otcm otcqx us premier  otc markets group welcomes minco gold to o ","2017-01-31 07:20:13","microcaplawyer","Adam Tracy, JD, MBA"
"86","i don‚Äôt think the stock market alone is a good indicator of economic health but i do like challenging my own belie‚Ä ","2017-02-01 13:56:55","NickFerezin","Nicholas Ferezin"
"87","gold gains as stock market volatility collapses to year lows btc bitcoin","2017-02-02 16:23:09","BMouler","Bert Mouler"
"88","if stock market experts were toexpert they would be buying stock not selling advice   norman r augustine","2017-02-02 15:02:44","sermanzano352","marisol"
"89"," stock picks in the  billion virtual reality market ","2017-02-02 07:39:35","MarketPatrol","Market Patrol"
"90","stockmarket trading is changing in the age of passive investing ","2017-02-02 12:04:08","DMAFinTech","DigitalMarketsAdv."
"91"," attorney opinion letter has been filed otc markets should be ps current shorty","2017-02-02 16:29:40","Ducksquawk","Denttech"
